#Followers,#Friends,#Retweets,#Favorites,Positive_sentiment,Negative_sentiment,Post_hour
619,770,0,0,2,-1,22
36365,19344,13,17,1,-4,22
5018,1933,0,0,2,-1,22
2219,971,0,0,2,-1,22
9009,4943,26,89,2,-1,22
284,935,0,0,3,-2,22
3605,3526,5,13,3,-1,22
5945,47,1,6,3,-1,22
156538,3858,56,131,1,-1,22
27014,24488,39,37,2,-1,22
108,405,0,0,1,-2,22
237005,559,2,3,2,-3,23
1658,23,2,4,1,-1,23
663,174,0,0,2,-1,23
291,427,0,0,1,-1,23
490,536,0,0,1,-1,23
14231403,43,3,10,1,-1,23
17688,4526,1,1,1,-1,23
39568,37514,136,140,2,-1,23
126,456,0,0,2,-1,23
43,143,0,0,1,-2,23
37245,299,7,12,2,-1,23
162,486,0,0,1,-1,23
317,272,0,0,3,-1,23
220,528,0,0,3,-1,23
121543,61909,0,0,2,-1,0
50,99,0,0,2,-1,0
10,38,0,0,5,-1,0
412,324,0,0,3,-1,0
667486,372,153,154,1,-1,0
202,1334,0,0,3,-3,0
16820,943,4,51,1,-3,0
629,2864,1,1,1,-1,0
1155,85,0,0,1,-1,0
0,232,0,0,2,-3,0
7,6,4,4,2,-1,0
7208,7096,0,0,2,-1,0
108,4523,0,0,3,-1,0
1606,329,0,0,3,-1,0
7323,7151,10,259,2,-2,0
89,803,0,0,1,-1,0
525,929,0,0,1,-1,0
439,1307,0,0,3,-3,0
657,298,3,7,2,-1,0
3044,1649,15,37,1,-1,1
57,772,0,0,1,-3,1
841,2214,1,0,1,-1,1
1169,14,8,20,2,-1,1
744,781,0,0,2,-1,1
1555,198,17,37,2,-1,1
502,454,3,5,1,-1,1
1195,4987,0,0,2,-3,1
452,467,0,0,1,-1,1
1210,840,9,36,1,-1,1
1036,517,0,0,3,-1,1
1926,246,0,0,2,-3,1
651,431,0,0,1,-1,1
361,435,0,0,1,-1,1
851,1653,0,0,1,-1,1
37,394,0,0,1,-2,1
55,28,6,12,1,-1,1
0,12,0,0,2,-1,2
21,169,0,0,1,-1,2
640,1649,0,0,3,-1,2
522,1379,0,0,1,-1,2
14,168,0,0,1,-1,2
353,434,4,14,3,-3,2
195,90,0,0,3,-1,2
102,190,0,0,2,-1,2
711742,27,752,3125,1,-2,2
2604,435,2,1,2,-1,2
195,195,0,0,2,-4,2
183,402,0,0,3,-1,3
9594,10531,0,0,3,-2,3
267,618,0,0,1,-1,3
584,478,8,7,2,-4,3
637,1129,4,2,1,-1,3
220,453,0,0,1,-1,3
171,360,9,43,3,-1,3
8954207,370,186,485,1,-1,3
20751041,1093,23,64,1,-1,3
1547,929,0,0,1,-1,3
12123,13217,3,3,1,-2,3
115,184,0,0,2,-1,3
145,362,0,0,1,-1,4
256,276,1,1,1,-1,4
311,1488,0,0,1,-1,4
4723,5,0,0,2,-1,4
22202,572,0,0,1,-1,4
160,158,0,0,1,-3,4
33596,0,711,1902,1,-3,4
2052,212,11,87,2,-1,4
15889,13344,21,53,2,-2,4
233,194,0,0,2,-3,4
6562,746,231,169,2,-2,4
384826,25,5,10,1,-1,4
4,10,0,0,1,-1,4
12656975,61,25,129,1,-1,4
1244,68,1,1,1,-1,5
263936,48,46,289,3,-1,5
591,407,0,0,1,-3,5
95,192,0,0,4,-1,5
4651,1559,7,10,1,-1,5
123806,602,36,25,3,-1,5
2563,453,1,0,1,-4,5
5070,5488,2,2,1,-1,5
11559,9358,9,14,2,-1,5
243,137,1,1,2,-1,5
76,247,0,0,1,-1,5
13218,9512,4,2,1,-1,5
5764,223,0,0,2,-1,5
5164,468,0,0,1,-1,5
14690,14181,1,2,3,-3,5
902,691,20,7,1,-1,6
465219,465,0,0,1,-5,6
2602,3228,0,0,1,-1,6
17,117,0,0,2,-1,6
34,125,0,0,1,-2,6
71,685,0,0,1,-1,6
1808,2655,0,0,2,-1,6
350,200,0,0,1,-1,6
226,0,0,0,1,-3,6
1291,2163,0,0,2,-1,6
242,32,0,0,1,-1,6
2410,503,0,0,2,-1,6
1038,1264,0,0,1,-2,7
19589,2920,269,416,1,-1,7
408,835,0,0,1,-1,7
1,13,0,0,2,-3,7
8,300,0,0,2,-3,7
4480,4298,0,0,1,-2,7
508,642,0,0,1,-4,7
2384,3888,0,0,1,-5,7
2885,2473,1,0,1,-1,7
103,67,0,0,1,-1,7
216503,51,142,1382,1,-1,7
5427,264,25,138,2,-2,7
415,576,0,0,3,-1,7
2350481,742,86,1167,2,-1,8
3324,22,3,12,3,-1,8
816638,562,3,28,3,-1,8
750,211,0,0,1,-4,8
84,158,0,0,1,-1,8
112,262,0,0,1,-3,8
12,10,0,0,2,-3,8
8953197,370,167,269,3,-3,8
33602,105,7,12,1,-3,8
245,432,0,0,3,-1,9
11151,2037,57,85,3,-1,9
15066,11407,3,1,2,-4,9
207,463,1,0,1,-1,9
887,528,2,2,3,-3,9
9699,183,20,21,2,-1,9
35,598,1,0,3,-1,9
161,282,5,1,1,-2,9
3576,804,30,52,1,-1,9
937,974,1,3,1,-1,9
17067,2537,9,11,1,-1,10
3411,22,3,17,1,-1,10
39026,2959,329,369,1,-3,10
4054,4971,3,1,1,-2,10
7,64,0,0,1,-4,10
313817,661,14,33,1,-1,10
1321,63,2,8,1,-1,10
505,442,0,0,2,-2,10
27708,427,26,35,1,-1,10
231,571,0,0,2,-1,10
2782,698,0,0,1,-1,10
133,129,0,0,1,-1,10
34,423,0,0,1,-1,10
192,364,0,0,1,-1,10
1904,1638,1,2,2,-1,10
1414,2532,0,0,3,-1,10
8599,7957,58,47,2,-3,10
13,58,0,0,1,-1,10
1663812,667,54,38,1,-3,10
577,147,0,0,1,-1,10
190,113,2,4,2,-1,11
38089,4118,2420,2929,2,-1,11
557,650,0,0,1,-2,11
43,232,0,0,4,-1,11
67,426,1,1,1,-2,11
30950,5353,110,606,1,-1,11
2256,1732,1,2,1,-1,11
1440,1477,0,0,3,-2,11
95,160,0,0,1,-1,11
5517960,233,62,90,1,-4,11
208368,1902,17,56,1,-2,11
19703,132,28,99,3,-3,11
125,639,0,0,1,-1,11
6,48,0,0,2,-3,11
13036820,841,57,486,3,-1,11
4,44,0,0,1,-2,11
337,2077,0,0,3,-3,11
2780,2626,0,0,3,-1,11
352,1325,0,0,2,-1,11
492236,126911,430,1415,1,-1,12
227,168,0,0,1,-1,12
1315,2106,0,0,3,-3,12
344016,1425,158,837,1,-1,12
124,1143,0,0,1,-1,12
1573,730,0,0,2,-3,12
1057,4324,3,3,3,-5,12
14989,345,37,37,3,-1,12
843,596,0,0,1,-1,12
231,200,14,8,2,-1,12
79,69,0,0,3,-2,12
2578,2287,2,1,1,-1,12
1117,244,0,0,1,-1,12
280,524,0,0,1,-2,12
1249,415,1,0,1,-1,12
847,864,0,0,1,-1,12
307,360,0,0,2,-1,12
346,221,0,0,1,-1,13
1694,103,1,1,1,-1,13
142,211,0,0,1,-1,13
188,139,25,12,2,-1,13
543,487,0,0,2,-1,13
2702,369,1,10,2,-1,13
1644,1384,65,76,2,-1,13
96,252,0,0,1,-1,13
1107,1508,0,0,2,-1,13
58227,1331,12,54,1,-1,13
2617,338,6,27,1,-1,13
1148,1014,0,0,1,-2,13
3,34,0,0,1,-1,13
64,175,0,0,1,-1,13
2117,2080,4,10,2,-1,13
238,440,0,0,1,-2,13
34642,30658,2,0,1,-1,13
1038,258,24,97,1,-1,13
114,473,0,0,2,-1,13
734,504,0,0,2,-1,13
545,743,0,0,2,-4,13
511,346,1,0,2,-1,14
16659,409,52,117,1,-3,14
912,70,9,10,1,-1,14
62,93,0,0,1,-1,14
3294,890,5,44,2,-1,14
444,436,0,0,1,-2,14
76,126,0,0,1,-3,14
10445,11297,0,0,2,-3,14
1241,3413,0,0,1,-1,14
1408,2075,0,0,1,-1,14
765,279,0,0,3,-1,14
72504,2114,19,43,1,-2,14
10192,9366,11,59,2,-2,14
25530,1041,0,0,1,-1,14
1814695,1189531,137,254,1,-1,14
350,279,0,0,1,-3,14
9846709,62,1,1,1,-1,14
367,640,0,0,1,-1,14
273599,1806,19,68,1,-1,14
1537,1099,3,14,1,-4,14
4610,466,0,0,1,-1,15
411450,555,5,2,1,-1,15
155,245,0,0,1,-1,15
4206,443,2,2,2,-1,15
630,872,1,0,2,-1,15
64,559,26,33,3,-1,15
72027,726,528,1599,1,-4,15
73739,301,549,710,2,-3,15
19167,15805,132,72,1,-1,15
434,170,0,0,2,-3,15
3736,514,1,1,1,-4,15
11064,5789,24,183,1,-1,15
430277,459,8,9,1,-1,15
1201,593,3,0,3,-1,15
2665,1231,0,0,1,-1,15
1382,271,0,0,1,-1,15
145,359,0,0,1,-3,15
633,1963,0,0,1,-1,15
104439,39253,47,79,2,-3,15
177,290,0,0,1,-1,15
52,71,0,0,1,-1,15
2506,3701,0,0,2,-1,15
150376,6515,70,233,2,-1,15
309,532,0,0,2,-1,15
170690,2055,887,1565,1,-1,15
22209,2339,44,355,3,-4,15
77166,699,0,0,1,-1,15
1845,1010,9,5,2,-1,16
10,91,0,0,1,-1,16
43100,157,84,243,1,-3,16
25,63,0,0,1,-1,16
800,1130,0,0,2,-3,16
87,7,0,0,1,-1,16
1102,1972,1,2,1,-2,16
12971,10092,7,22,1,-1,16
459,248,0,0,1,-4,16
579,644,5,3,2,-1,16
115491,1157,0,0,2,-5,16
80,256,0,0,1,-1,16
2003,1606,1,4,2,-1,16
17,35,0,0,1,-2,16
754,948,0,0,1,-1,16
394,411,1,4,1,-4,16
653,1142,3,13,2,-2,16
1211,374,0,0,1,-1,16
17567,674,3,2,2,-1,16
6883,7438,0,0,2,-1,16
52806,368,0,0,3,-1,17
5625,1695,0,0,1,-1,17
219971,138757,5,12,2,-1,17
896,683,0,0,3,-1,17
1106,4765,0,0,2,-1,17
885,937,0,0,2,-1,17
2196,1419,1,0,1,-1,17
1160,4362,3,12,2,-3,17
6,50,0,0,2,-1,17
602,527,0,0,1,-2,17
15896,2020,31,44,1,-1,17
1319,414,36,140,1,-1,17
454,689,7,33,2,-1,17
813,1965,1,3,3,-1,17
98,261,0,0,1,-1,17
976,652,0,0,2,-2,17
96,314,0,0,3,-1,17
2156,691,0,0,3,-2,17
611,326,53,134,1,-2,17
25,86,0,0,1,-2,17
3729,3983,1,0,1,-3,17
723854,3444,46,148,1,-1,17
48327,672,65,441,3,-1,17
2402,1956,3,10,2,-1,17
3911,419,20,41,1,-1,17
2122,992,9,11,2,-1,17
5932,5655,0,0,1,-1,17
270,204,0,0,1,-1,17
2849800,1920,367,3109,1,-1,18
465,312,0,0,1,-1,18
959,1069,0,0,1,-1,18
147,67,0,0,1,-3,18
